user_id,course_id,course_name,topic_id,topic_name,progress
269,65,Introduction Statistics,19,Linear Regression,0.49
772,41,Advanced Statistics,6,Functions,0.51
411,39,Basic Python,42,Linear Regression,0.01
681,24,Basic Python,43,Control Structures,0.59
428,9,Advanced Statistics,4,Control Structures,0.77
738,94,Introduction Machine Learning,40,Functions,0.36
281,26,Introduction Machine Learning,2,Functions,0.29
226,62,Introduction Python,11,Pandas and NumPy,0.7
593,71,Advanced Data Science,6,Functions,0.82
965,55,Advanced Machine Learning,33,Linear Regression,0.92
282,52,Intermediate Python,45,Linear Regression,0.55
473,21,Basic Machine Learning,14,Functions,0.57
675,31,Basic Python,45,Linear Regression,0.48
267,68,Advanced Python,48,Functions,0.97
149,33,Intermediate Data Science,12,Linear Regression,0.07
222,5,Advanced Machine Learning,35,Linear Regression,0.93
305,15,Basic Machine Learning,8,Pandas and NumPy,0.54
594,41,Intermediate Python,23,Linear Regression,0.28
176,46,Basic Data Science,42,Variables and Data Types,0.94
301,57,Introduction Machine Learning,16,Linear Regression,0.35
136,74,Intermediate Data Science,4,Pandas and NumPy,0.8
633,33,Intermediate Data Science,24,Linear Regression,0.97
740,30,Basic Statistics,34,Variables and Data Types,0.3
76,77,Intermediate Data Science,32,Linear Regression,0.19
952,22,Advanced Python,22,Control Structures,0.09
888,63,Basic Statistics,7,Variables and Data Types,0.37
95,55,Introduction Statistics,20,Control Structures,0.92
938,11,Basic Data Science,44,Functions,0.9
802,21,Basic Python,35,Variables and Data Types,0.76
758,6,Intermediate Data Science,31,Control Structures,0.02
901,8,Introduction Machine Learning,47,Functions,0.09
800,24,Intermediate Machine Learning,29,Linear Regression,0.73
368,26,Introduction Data Science,5,Functions,0.39
911,50,Basic Statistics,46,Functions,0.01
227,59,Intermediate Python,48,Linear Regression,0.35
987,76,Intermediate Python,46,Variables and Data Types,0.35
496,43,Basic Data Science,39,Linear Regression,0.3
136,19,Introduction Data Science,21,Linear Regression,0.05
526,84,Basic Machine Learning,22,Control Structures,0.59
380,46,Introduction Machine Learning,50,Variables and Data Types,0.8
810,70,Basic Python,9,Functions,0.51
502,15,Basic Machine Learning,32,Pandas and NumPy,0.96
707,57,Introduction Statistics,37,Variables and Data Types,0.18
941,48,Advanced Statistics,12,Control Structures,0.47
935,49,Intermediate Statistics,22,Linear Regression,0.5
17,58,Advanced Statistics,46,Functions,0.3
331,1,Advanced Python,13,Pandas and NumPy,0.6
386,8,Intermediate Statistics,14,Linear Regression,0.5
778,18,Advanced Statistics,30,Variables and Data Types,0.76
219,3,Intermediate Data Science,32,Control Structures,0.91
316,71,Introduction Data Science,31,Variables and Data Types,0.04
901,39,Intermediate Machine Learning,31,Pandas and NumPy,0.36
854,43,Introduction Statistics,42,Pandas and NumPy,0.21
152,97,Advanced Statistics,45,Control Structures,0.61
287,59,Basic Statistics,7,Pandas and NumPy,0.96
681,89,Advanced Data Science,25,Functions,0.62
310,1,Advanced Python,31,Variables and Data Types,0.77
852,7,Basic Statistics,28,Linear Regression,0.91
357,100,Introduction Statistics,25,Pandas and NumPy,0.99
273,80,Intermediate Machine Learning,5,Variables and Data Types,0.08
588,30,Advanced Data Science,9,Pandas and NumPy,0.03
147,72,Basic Python,49,Linear Regression,0.33
757,93,Introduction Data Science,46,Linear Regression,0.46
268,49,Advanced Python,4,Linear Regression,0.23
671,67,Introduction Machine Learning,40,Pandas and NumPy,0.12
671,62,Advanced Python,6,Linear Regression,0.68
28,77,Introduction Statistics,7,Variables and Data Types,0.94
33,45,Intermediate Data Science,8,Control Structures,0.16
622,75,Intermediate Python,8,Pandas and NumPy,0.71
600,26,Basic Statistics,40,Control Structures,0.22
838,95,Introduction Statistics,27,Variables and Data Types,0.9
862,49,Advanced Machine Learning,43,Variables and Data Types,0.2
869,52,Intermediate Machine Learning,25,Functions,0.62
323,75,Introduction Machine Learning,5,Functions,0.06
593,74,Basic Machine Learning,47,Pandas and NumPy,0.08
10,41,Introduction Machine Learning,12,Control Structures,0.91
593,98,Intermediate Machine Learning,47,Variables and Data Types,0.27
789,5,Intermediate Data Science,11,Linear Regression,0.78
13,94,Advanced Python,39,Variables and Data Types,0.6
410,19,Basic Python,15,Variables and Data Types,0.57
972,12,Intermediate Statistics,38,Control Structures,0.06
51,6,Introduction Machine Learning,29,Control Structures,0.3
749,80,Introduction Python,38,Linear Regression,0.58
704,94,Advanced Statistics,33,Control Structures,0.57
711,86,Introduction Statistics,40,Control Structures,0.12
705,20,Basic Statistics,28,Control Structures,0.69
977,9,Basic Python,7,Variables and Data Types,0.28
588,91,Introduction Python,49,Variables and Data Types,0.78
469,8,Advanced Python,44,Variables and Data Types,0.65
737,30,Advanced Data Science,28,Pandas and NumPy,0.73
521,67,Intermediate Data Science,46,Pandas and NumPy,0.74
797,24,Introduction Python,15,Linear Regression,0.13
36,71,Advanced Statistics,7,Linear Regression,0.65
754,7,Intermediate Data Science,17,Pandas and NumPy,0.94
54,4,Intermediate Machine Learning,48,Control Structures,0.51
379,8,Introduction Data Science,30,Linear Regression,0.05
627,92,Introduction Statistics,40,Control Structures,0.8
790,22,Intermediate Statistics,2,Pandas and NumPy,0.44
49,73,Basic Python,12,Control Structures,0.68
